tool_id,avg_memory_in_gb,nr_samples
drep_dereplicate/3.2.2,37.26494979413333,15
ncbi_blastn_wrapper/0.2.00,36.9938751488,5
kraken2/2.1.1,36.8276173209182,21071
salsa/2.2,36.34826126222222,9
cardinal_data_exporter/2.6.0.0,36.338492895711695,444
rna_star/2.4.0d-2,36.27434489393547,124
deeptools_bam_coverage/2.5.7.0,36.232484864,4
cardinal_segmentations/2.4.0.0,35.049765741714296,91
humann2/0.11.1.3,34.90563222879215,1656
ncbi_blastp_wrapper/0.3.3,34.702607127188415,6083
rnaspades/3.9.0.1,34.48788647132428,367
humann2/0.9.9.0,34.46737534975999,25
bwameth/0.2.0.3,34.42012906917648,17
humann2/0.11.1.0,34.32884994550193,1827
humann2/0.11.1.2,34.18069844949812,267
rnaspades/3.15.4,33.945580159999984,32
rna_star/2.6.0b-1,33.829461567532796,3288
kraken2/2.0.8_beta,33.45984003652656,13008
cardinal_quality_report/2.6.0.1,33.376361352746855,1039
novoplasty/4.2,33.16544167043568,716
OpenSwathWorkflow/2.5,33.12708555382491,1806
spades/3.12.0,32.63990695258914,15871
nanopolish_eventalign/0.11.1,32.16146712547945,146
winnowmap/2.02,32.01487037046153,13
rnaspades/3.9.0.2,31.911741052540545,259
pyprophet_score/2.1.4.1,31.255459895351358,37
trimmomatic/0.32.1,31.164302962626866,67
hicexplorer_hicpca/2.1.4.0,30.78426624,1
hicexplorer_hicbuildmatrix/3.4.1.0,30.580093672727294,55
hicexplorer_hicbuildmatrix/2.1.4.0,30.50735649864568,508
hicexplorer_hicbuildmatrix/3.4.2.0,30.502919760842122,38
chira_map/1.1.4,30.493170766769218,13
chira_quantify/1.1.4,30.455157681230766,13
megablast_wrapper/1.2.0,30.165492912551713,464
metaspades/3.15.3,30.129275904000004,8
cardinal_preprocessing/2.4.0.2,30.056128466614968,361
bg_diamond/2.0.15,29.935332034206898,58
megahit/1.1.2.2,29.726556160000005,9
encyclopedia_prosit_csv_to_library/0.9.5.0,28.685574144,3
canu/2.1.1,28.397133797540015,1548
tophat2/2.1.1,28.205499249083623,5123
tombo_detect_modifications,27.98383456415587,924
chira_quantify/1.3.7,27.979859968,18
hisat2/2.0.5.1,27.818136576,4
hicexplorer_hicsummatrices/3.4.3.0,27.691846009263163,76
maxquant/1.6.17.0,27.452675609116984,265
bwameth/0.2.3,27.192051024,256
cardinal_quality_report/2.4.0.0,27.0999662041791,67
unicycler/0.4.4.0,26.729598976,2
spades_rnaviralspades/3.15.4,26.449212041365843,82
interproscan/5.54-87.0,26.39983368533333,96
cardinal_preprocessing/2.10.0.0,26.28587692463158,76
hicexplorer_chicviewpointbackgroundmodel/3.4.3.0,25.94646239418182,11
bwameth/0.2.2,25.862475461862836,2347
maldi_quant_preprocessing/1.18.0.3,25.39891738806284,191
bio3d_pca/2.3.4,25.35546574913319,533
alevin/1.5.1,25.207135618299382,167
salmon/0.14.1.2,25.179724424513072,10074
spades/3.15.4,25.02392193969231,312
metaspades/3.9.0.1,24.727117963597667,1203
hisat2/2.0.5.2,24.70796538311112,45
bowtie2/0.4,24.632521523200005,5
mira_assembler/0.0.11,24.51358408891603,131
bio3d_rmsd/2.3.4,24.51323508008536,1219
mass_spectrometry_imaging_preprocessing/1.7.0.1,24.252563456,1
cardinal_classification/2.10.0.0,24.061617016289155,83
peptide_shaker/2.0.15,23.94886096738462,26
freebayes/1.1.0-1,23.74078464,1
hicexplorer_hicmergematrixbins/3.4.3.0,23.729671092547363,380
scpipe/1.0.0,23.610912886724638,69
ncbi_blastp_wrapper/0.1.07,23.519268864,2
featurecounts/1.6.0.7,23.4281926656,5
bismark_methylation_extractor/0.22.1,23.145559750897274,798
hicexplorer_hicpca/3.4.3.0,22.8906009194264,265
flye/2.9,22.881845522784086,477
cardinal_quality_report/2.10.0.0,22.736340106120913,215
maxquant/1.6.10.43,22.587332172207304,907
deeptools_bam_coverage/3.0.1.0,22.240545792,4
nanopolishcomp_eventaligncollapse/0.6.11,22.0580194210909,176
OpenSwathWorkflow/2.6,21.659220179352825,2219
megahit/1.1.3.5,21.45389534382723,1852
cardinal_preprocessing/2.4.0.0,21.452378175503874,129
fastq_dump/2.10.8,21.418807012343503,361
abyss-pe/2.3.1,21.36800631466667,12
cuffnorm/2.2.1.3,21.34262040252631,57
cuffdiff/2.2.1.6,21.276405615367214,708
salmon/1.5.1,21.26415222238853,3614
hicexplorer_hicsummatrices/3.6,21.17021301028572,56
bio3d_rmsf/2.3.4,21.06891101374104,641
bismark_bowtie2/0.22.1,21.034974331562882,2279
blockbuster,20.891774484480006,75
segemehl/0.2.0.4,20.82327647505236,401
unicycler/0.4.8.0,20.61318084738374,14328
trimmomatic/0.32.3,20.29808365160175,462
meryl/1.2,20.173969780363635,22
hicexplorer_hiccorrelate/3.4.3.0,20.172698344727262,209
freebayes/1.3.1,19.95485295192376,9224
bg_diamond/0.9.21.0,19.94185435825398,811
fastq_dump/2.10.9,19.926784247035034,257
flye/2.6,19.87644097625761,1677
cardinal_classification/2.4.0.1,19.8237731328,160
unicycler/0.2.0,19.77547282070588,17
maldi_quant_peak_detection/1.18.0.6,19.722870783999987,146
chira_map/1.1.2,19.638333986133336,15
deeptools_multi_bam_summary/2.5.1.1.0,19.485384704,4
megahit/1.2.9,19.38859004276364,110
jellyfish/2.3.0,19.259045438439024,82
bowtie2/2.3.4.1,19.165045397661544,130
hicexplorer_chicviewpointbackgroundmodel/3.3.1.0,19.060355072000004,4
cardinal_combine/2.2.6.1,18.966165865411767,68
novoplasty/4.3.1,18.94740689593191,235
mothur_classify_otu/1.36.1.0,18.823853621492535,67
cardinal_combine/2.6.0.0,18.72899167573334,105
antismash/5.1.2,18.48843361164961,3071
snippy/4.4.3,18.47052323929824,342
hicexplorer_hicmergematrixbins/3.6,18.37918554189122,239
rna_star/2.4.0d,18.315575296,1
ncbi_blastp_wrapper/0.3.1,18.215817431578955,19
feelnc/0.2,18.207257298823528,51
sopra_wpc/0.1,18.131212288,32
pureclip/1.0.4,18.113908745266972,442
cardinal_spectra_plots/2.6.0.2,18.08598728844636,233
mothur_make_contigs/1.36.1.0,18.070461068768847,822
deeptools_plot_heatmap/3.0.1.0,18.0010889728,80
stacks2_denovomap/2.4,17.82715778432581,221
bionano_scaffold/3.6.1,17.75764856087272,55
cardinal_segmentations/2.10.0.0,17.629737252571424,28
mdanalysis_extract_rmsd/1.0.0,17.618477568,16
flye/2.8.3,17.3005859643077,416
alevin/1.3.0,17.1149167793719,242
cardinal_data_exporter/2.4.0.0,17.086253317317517,337
featurecounts/1.4.6.p5,17.051443388321836,87
chira_extract/1.1.4,16.931443003076925,13
chira_quantify/1.4.3,16.760386345086413,405
bowtie2/2.3.2.2,16.677543714594595,37
hicexplorer_chicviewpoint/3.4.2.0,16.64392981942857,7
ncbi_blastp_wrapper/2.10.1,16.59049829330021,35171
maldi_quant_preprocessing/1.18.0.2,16.492849834666668,3
spades_metaviralspades/3.15.4,16.460790442666667,12
MassTraceExtractor/2.6,16.335996928,2
peptide_shaker/2.0.25,16.33223547482353,17
hicexplorer_hicplotmatrix/3.4.3.0,16.314479216858484,3094
unicycler/0.4.7.0,16.23954586848781,123
spades_plasmidspades/3.15.4,16.155133074285718,14
interproscan/5.0.0,16.076775207457878,4029
cuffdiff/2.2.1.3,15.9613833216,10
ncbi_blastn_wrapper/0.0.11,15.784744692869568,23
stacks2_denovomap/2.55,15.726957837473684,19
peptide_shaker/1.16.26,15.546322944,1
mothur_count_groups/1.36.1.0,15.466078207999999,7
flye/2.8.2,15.44804629942857,28
mothur_summary_seqs/1.36.1.0,15.44279025077678,1743
cardinal_spectra_plots/2.6.0.1,15.32901679311393,158
peptide_shaker/2.0.33,15.2761147392,20
hisat2/2.1.0,15.044755890815567,72205
hicexplorer_hiccorrectmatrix/2.1.4.0,14.969511587404252,188
nanopolish_methylation/0.13.2,14.848688799250805,299
hicexplorer_chicaggregatestatistic/3.4.3.0,14.82622897230769,26
deeptools_bam_compare/3.0.1.0,14.81764864,4
msstatstmt/1.8.2,14.718775423999997,64
cardinal_quality_report/1.12.1.3,14.58071523087059,170
freebayes/1.3.5,14.406125546476956,1237
eggnog_mapper/1.0.3.1,14.402001504511183,313
chira_merge/1.4.3,14.40120740262476,509
stringtie/1.3.4,14.2837383168,60
picard_MergeSamFiles/2.7.1.0,14.168768512,1
CruxAdapter/2.6,14.151793490201866,1744
sailfish/0.10.1.1,14.091569303395612,1231
gemini_load/0.20.1,14.008453269804615,2037
cardinal_combine/2.10.0.0,13.900573394823526,34
deeptools_plot_coverage/3.0.0.0,13.887597226666665,3
deeptools_multi_bam_summary/3.3.2.0.0,13.79750773526745,2217
chira_merge/1.3.5,13.794441443555554,36
busco/5.0.0,13.779224631698762,2868
IDMerger/2.3.0,13.779013480296298,27
schicexplorer_schicnormalize/4.0,13.648496639999998,18
canu/1.7,13.620623847619045,21
chira_extract/1.4.3,13.570061264196548,407
minimap2/2.5+gx1,13.534808229161298,124
hicexplorer_hicbuildmatrix/3.3.1.0,13.469584976842105,76
cardinal_preprocessing/2.6.0.2,13.459918698979264,1979
pilon/1.20.1,13.378780189926312,2361
chira_merge/1.1.4,13.3695031296,20
bg_diamond_makedb/2.0.8,13.324401781805316,226
search_gui/3.3.10.1,13.152936626873625,2745
salsa/2.3,13.055264768000002,18
OpenSwathWorkflow,13.028082057626717,1436
snpSift_annotate/4.3.0,12.8882176,2
hicexplorer_hicmergematrixbins/3.4.2.0,12.847040512,4
hicexplorer_chicviewpointbackgroundmodel/3.4.2.0,12.828670244571427,7
kraken/1.3.1,12.792364325289682,611
kraken2/2.0.7_beta,12.759480814344828,29
flashlfq/1.0.3.0,12.759439262476183,294
shovill/1.1.0,12.715154258247022,2599
abyss-pe/2.2.3,12.67561282117795,961
hicexplorer_hicfindtads/3.4.3.0,12.659938744922359,425
hicexplorer_hicpca/3.6,12.605049147977141,175
mothur_align_seqs/1.39.5.0,12.593453687471946,3227
hicexplorer_hiccorrectmatrix/3.4.3.0,12.555179902572497,1076
nanopolish_eventalign/0.13.2,12.529526556444445,36
chira_extract/1.3.5,12.507733385846153,13
hicexplorer_hicplottads/2.1.4.0,12.475566088706643,2117
htseq_count/0.9.1,12.388853265770429,51516
proteomics_moff/2.0.3.0,12.372313022638295,94
search_gui/2.9.0,12.354561279999999,16
bwa/0.7.17.4,12.342065350122143,9262
merqury/1.3,12.340353512435133,239
alevin/0.14.1.2,12.28380265325714,105
cardinal_filtering/2.6.0.0,12.234831105082007,2366
hicexplorer_chicviewpoint/3.4.3.0,12.208068608000001,74
gemini_load/0.18.1.0,12.192663040000001,8
cardinal_spectra_plots/2.6.0.0,12.192526601481473,216
hicexplorer_hicsummatrices/3.4.1.0,12.178569216000003,16
SpectraFilterNormalizer/2.6,12.095455232,1
deeptools_correct_gc_bias/3.3.2.0.0,12.060503837493094,217
ncbi_blastn_wrapper/2.10.1,11.958056003636807,34685
picard_MarkDuplicates/2.18.2.3,11.903678708256882,109
maldi_quant_preprocessing/1.18.0.1,11.902439424,1
idr_download_by_ids/0.42,11.89689344,6
mothur_cluster/1.36.1.0,11.889563648,6
eggnog_mapper/2.0.1,11.86925393624206,727
kallisto_quant/0.43.1.4,11.765089792,8
mz_to_sqlite/2.1.1,11.731997371317075,41
hicexplorer_hicplotmatrix/3.6,11.723396631318803,2020
cardinal_mz_images/2.6.0.1,11.70095396767785,149
mothur_make_biom/1.36.1.0,11.692287325974677,158
cardinal_combine/2.2.6.0,11.678670144955223,134
mz_to_sqlite/2.0.4,11.634157980176088,318
msstats/3.20.1.0,11.591773982532104,109
valet/1.0.0,11.579132943753851,65
flye/2.3.7,11.549616209377485,302
bowtie2/2.4.2,11.539507337675722,48286
picard_MarkDuplicates/2.7.1.1,11.40877296246154,78
mothur_align_seqs/1.36.1.0,11.400942947265307,98
search_gui/4.0.25,11.398834811586209,29
megahit/1.1.3.4,11.35057334192209,616
shovill/1.0.4,11.330105468405733,1745
hicexplorer_hicbuildmatrix/2.1.2.0,11.3130903552,60
bwa_mem2/2.2.1,11.294110764151679,1925
featurecounts/1.5.3,11.18290631305366,205
mothur_anosim/1.39.5.0,11.139453824,32
mothur_screen_seqs/1.36.1.0,11.118313388408165,196
spades_metaviralspades/3.15.3,11.097343772444445,18
cardinal_preprocessing/1.12.1.3,11.095231142932196,1828
busco/5.2.2,11.028201818736404,2906
picard_MarkDuplicates/2.7.1.2,11.020898304000001,6
hicexplorer_chicviewpoint/3.6,10.981917696,4
pilon/0.1,10.969489408,1
kallisto_quant/0.46.0.4,10.917880606754684,9456
hicexplorer_hicpca/2.1.2.0,10.901026133333334,3
eggnog_mapper/2.1.6,10.866784165380533,113
rcas/1.1.1,10.744340264421052,19
picard_SortSam/2.7.1.1,10.741612544,1
minimap2/2.23,10.623373892908827,691
picard_FixMateInformation/2.18.2.1,10.561740654751762,141
macs2_callpeak/2.1.1.20160309.3,10.550668555815388,130
minimap2/2.22,10.549770910896548,580
deeptools_bam_coverage/3.0.0.0,10.51389997511111,27
varscan_mpileup/2.3.5,10.367569920000001,10
hisat2/2.2.1,10.30397646035442,31496
macs2_callpeak/2.1.1.20160309.5,10.296204240738465,65
chira_extract/1.3.7,10.255740712421053,19
je_demultiplex/1.2.1,10.22553607052341,726
hicexplorer_hiccorrectmatrix/3.6,10.191932014360427,566
busco/4.1.2,10.172478444937468,2095
picard_MarkDuplicates/2.18.2.1,10.148938580273281,322
search_gui/3.3.3.0,10.144745585777777,36
sam_merge2/1.2.0,10.140291974844427,4133
antismash/4.1,10.126509886792444,1537
MSGFPlusAdapter/2.6,10.075788283100481,418
fastq_dump/2.10.4,10.001664745759701,541
cardinal_combine/2.4.0.0,9.989218256372089,86
deeptools_multi_bam_summary/3.0.2.0,9.981409214538802,219
fastq_dump/2.9.1.3,9.976820784761898,42
hyphy_gard/2.5.4,9.948879872,4
abims_xcms_fillPeaks/3.4.4.0,9.943256019478254,115
chira_map/1.3.4,9.92863232,4
pileometh/0.3.0,9.84189637485714,56
search_gui/4.0.41,9.820288519718591,199
fastq_dump/2.11.0,9.813758950251456,517
piranha/0.1.0,9.799627685941362,307
hyphy_busted/2.5.14,9.736705024,8
gemini_load/0.18.1.1,9.711327232,2
mothur_cluster_split/1.39.5.0,9.696146286464826,1949
chira_merge/1.3.4,9.68004608,6
shasta/0.6.0,9.667331972812033,266
CompNovo/2.6,9.667312298666667,6
cuffdiff/0.0.6,9.651781119999999,40
salmon/0.7.2,9.577922303999998,16
fastq_dump/2.10.7,9.575632457632105,299
hicexplorer_hicplotmatrix/3.3.1.0,9.567587838353699,311
salmon/0.11.2,9.534692054709687,186
cardinal_spectra_plots/2.10.0.0,9.473012852123711,97
blockbuster/0.1.2,9.460612446435556,225
cardinal_quality_report/1.12.1.4,9.438788410385968,855
cardinal_combine/2.6.0.1,9.390309048319999,25
maxquant/1.6.3.4,9.375321277629634,54
chira_merge/1.3.7,9.338502977488375,43
cuffdiff/2.2.1.5,9.330149693440001,400
cufflinks/2.2.1.3,9.297090726803024,3843
mothur_count_groups/1.39.5.0,9.280536929759903,2582
PeakPickerHiRes/2.3.0,9.25454477637383,107
busco/5.3.2,9.217288180808744,183
freebayes/1.1.0.46-0,9.205900802132149,5523
minimap2/2.12,9.169482609417722,158
hicexplorer_hicplotviewpoint/3.4.1.0,9.145376768,1
cuffnorm/2.2.1.2,9.096721128727276,33
hicexplorer_hictransform/3.6,9.015392858352945,85
deeptools_bam_coverage/2.4.1.0,8.989428938191098,628
picard_MarkDuplicates/1.136.0,8.985608936727276,11
minimap2/2.5,8.984673718857145,14
picard_FixMateInformation/2.7.1.0,8.973280255999999,4
bowtie2/2.4.5,8.910331821821936,6031
pileometh/0.3.0.1,8.903648686983832,2787
umi_tools_dedup/0.5.3.0,8.894662948151671,8363
picard_CleanSam/2.18.2.1,8.887270953121249,635
hicexplorer_chicplotviewpoint/3.6,8.874097943272728,22
metilene/0.2-4.1,8.860724360533334,60
mothur_make_group/1.36.1.0,8.832319518567164,134
NSPDK_candidateClust/9.2.2,8.80433758208,25
spades_coronaspades/3.15.3,8.771743744,1
picard_MergeSamFiles/2.18.2.1,8.74491962848888,1399
macs2_callpeak/2.1.1.20160309.6,8.733692603096898,22686
peakachu/0.1.0.2,8.725882243751458,853
picard_CollectRnaSeqMetrics/2.7.1.1,8.7228923904,5
bedtools_intersectbed/2.29.2,8.689568512688442,18221
hicexplorer_hictransform/3.4.3.0,8.564433694194873,195
hicexplorer_hicfindtads/3.4.1.0,8.437690823111108,63
bowtie2/2.3.4.3,8.429293661758395,97465
hicexplorer_hicfindtads/3.6,8.415380517311739,247
cardinal_classification/1.12.1.3,8.409015957522133,226
bowtie2/2.3.4.2,8.39533243204506,355
chira_map/1.3.1,8.360111854933333,15
mothur_make_shared/1.36.1.0,8.317741403118644,118
mothur_degap_seqs/1.39.5.0,8.312522141192986,57
salmon/0.9.1,8.282680490666658,384
hicexplorer_hicplotviewpoint/3.4.2.0,8.275339264,2
chira_quantify/1.3.5,8.267128695466663,30
minimap2/2.20,8.249554311712101,12033
ncbi_tblastn_wrapper/2.10.1,8.247114627348102,3976
lotus2/2.09.2,8.206744689777777,9
mothur_trim_seqs/1.39.5.0,8.144324330257529,1460
nanopolish_variants/0.13.2,8.129854788855162,580
macs2_bdgdiff/2.2.7.1,8.088311808,2
varscan_somatic/2.4.3.6,8.086153853717414,729
hicexplorer_hiccorrectmatrix/3.3.1.0,8.044680903923807,210
vsearch_search/2.8.3.1,8.012983162434782,92
snpEff_get_chr_names/4.3,7.98439535709091,11
trimmomatic/0.36.4,7.970335253671936,3024
scanpy_integrate_mnn/1.6.0,7.965976575999999,2
kallisto_quant/0.46.2,7.934958745367603,1322
bedtools_sortbed/2.29.2,7.922453083886296,2357
mothur_classify_seqs/1.36.1.0,7.881858381108433,83
picard_FixMateInformation/1.136.0,7.845661952,32
salmon/0.14.1,7.84161069896414,251
bg_diamond_makedb/0.9.21,7.825494601142863,322
racon/1.4.13,7.817801795396127,2431
hicexplorer_hicmergematrixbins/3.3.1.0,7.81525706843312,157
bedtools_sortbed/2.27.0.0,7.803018416551729,58
schicexplorer_schicclusterminhash/4.0,7.783335354469132,81
hicexplorer_hicfindtads/3.3.1.0,7.773685077333336,42
search_gui/4.0.33,7.7608936645614115,114
varscan_mpileup/2.4.3.0,7.757515310545453,33
dialignr/1.2.0,7.726010368,1
picard_MarkDuplicates/2.18.2.2,7.679759375681948,214176
kraken_taxonomy_report/0.0.3,7.633881088,2
ncbi_blastx_wrapper/2.10.1,7.600220357037891,7889
deeptools_multi_bam_summary/3.0.1.0,7.586074624,1
sam_merge2/1.1.2,7.5757833039776665,1075
funannotate_predict/1.8.9,7.57187100672,125
deeptools_bam_coverage/3.0.2.0,7.5666458265948675,3083
r_correlation_matrix,7.566566423813954,129
winnowmap/2.03,7.563777840898878,89
segemehl/0.2.0.3,7.558052969614352,223
cardinal_combine/1.12.1.3,7.542177060571426,28
SpectraFilterWindowMower/2.6,7.505788928,1
chira_extract/1.3.3,7.484355304727271,11
unicycler/0.4.6.0,7.455537151999999,8
metagene_annotator/1.0.0,7.453565319961714,209
cardinal_preprocessing/2.6.0.0,7.43203362133333,69
picard_ReorderSam/2.18.2.1,7.417036676812025,133
eodie/1.0.2,7.406872576,2
velvetg,7.364336145148325,1254
cuffquant/2.2.1.1,7.363015251781825,110
mothur_filter_seqs/1.39.5.0,7.352502906927739,1716
mothur_classify_tree/1.39.5.0,7.342623165217392,23
sklearn_searchcv/1.0.8.1,7.306674198270971,4414
mothur_screen_seqs/1.39.5.0,7.291743517872976,3385
snippy/4.5.0,7.2750315695762415,13866
wig_to_bigWig,7.255289681732936,8485
mothur_unique_seqs/1.36.1.0,7.24422950505785,121
hicexplorer_hicdetectloops/3.4.2.0,7.237021696,1
snpEff/4.1.0,7.2127279856326565,49
search_gui/3.2.13,7.198310399999999,13
deeptools_bam_compare/3.3.2.0.0,7.197848670290987,4344
samtools_sort/2.0.3,7.1802826041714924,6649
mothur_tree_shared/1.36.1.0,7.155966699445256,137
samtools_idxstats/2.0,7.089384448000001,4
velveth,7.073986869581388,1376
qualimap_rnaseq/2.2.2d,7.04380821147826,69
msgfplus/0.5,7.036815236975268,283
mass_spectrometry_imaging_filtering/1.10.0.6,7.033443304106672,1200
mothur_merge_files/1.39.5.0,6.996875705209016,1555
cardinal_segmentations/1.12.1.3,6.9494886563094465,879
deeptools_plot_fingerprint/3.3.2.0.0,6.940540284708827,1439
mash_screen/2.3,6.92981504,16
deeptools_multi_bigwig_summary/3.3.2.0.0,6.919460026991288,1725
mothur_merge_files/1.36.1.0,6.8793687626259565,131
bionano_scaffold/3.7.0,6.86811291648,50
maldi_quant_peak_detection/1.18.0.4,6.862290879999993,128
featurecounts/1.6.2,6.811320705505883,1445
seurat_export_cellbrowser/3.1.1,6.79909376,1
hicexplorer_hicplotviewpoint/3.4.3.0,6.780051634086959,92
cardinal_filtering/2.4.0.0,6.7793247013770515,488
IsobaricAnalyzer/2.6,6.7654525832638015,163
stringtie/1.3.3.1,6.760622762666667,18
deeptools_bigwig_compare/3.3.2.0.0,6.7414080937231535,3092
picard_MergeSamFiles/1.136.0,6.737136298666667,3
deeptools_multi_bam_summary/3.5.1.0.0,6.627290124641976,81
htseq_count/0.4.1,6.599618978909089,88
hicexplorer_hicpca/3.3.1.0,6.5791778816,15
abyss-pe/2.3.3,6.554382510297872,47
ncbi_blastn_wrapper/0.3.3,6.547359185825206,5023
fastq_dump/2.8.1.3,6.544063797581398,86
deeptools_compute_matrix/3.3.2.0.0,6.535068291012265,32847
hicexplorer_hicplotmatrix/2.1.2.0,6.525842773333332,81
medaka_consensus_pipeline/1.3.2,6.474607135105113,1037
strelka_germline/2.9.10,6.462264189672732,55
RTEvaluation/2.6,6.444673024,2
abims_xcms_retcor/3.4.4.1,6.43281906346667,105
sklearn_model_validation/1.0.7.10,6.40997105907327,505
mothur_pre_cluster/1.36.1.0,6.408650357204823,83
stringtie/2.1.1,6.397486145982062,35260
bowtie2/0.3,6.376204970666667,3
picard_SortSam/2.18.2.1,6.345161780371495,2972
deeptools_bam_compare/3.0.2.0,6.336601635720931,559
featurecounts/1.6.4,6.321908456242823,92617
kallisto_quant/0.43.1.3,6.316280349729032,310
picard_CollectRnaSeqMetrics/2.18.2.2,6.28862758980428,1257
snippy/4.4.5,6.267553900669385,490
chira_quantify/1.0.3,6.261137408,2
feelnc/0.1.1.1,6.2604002190222205,45
qualimap_bamqc/2.2.2c,6.240970632443919,13173
mothur_cluster_split/1.36.1.0,6.219901610666667,69
htseq_count/0.6.1galaxy1,6.216142847999999,23
picard_AddOrReplaceReadGroups/1.136.0,6.204611739151515,33
rbc_mirdeep2_mapper/2.0.0,6.202576432909691,6103
picard_CollectRnaSeqMetrics/2.18.2.1,6.198273549837841,111
featurecounts/1.6.3,6.191010808277529,1326
bedtools_mergebed/2.29.2,6.170477000968697,1470
hicexplorer_hicfindtads/2.1.4.0,6.1651732252444456,45
search_gui/4.0.22,6.15717578174359,39
